d9d28f8f774161b,vox\scripted\ping\weav\vox_weav_ping_item_ss_rcxd_00.rn75.pc.bp.snd
457ca274d1a592cf,vox\scripted\zm_operators\masn\vox_masn_zm_se_kill_mult_aether_shroud_00.rn75.pc.bp.snd
59122d9aea2e17ba,vox\scripted\zm_operators\stch\vox_stch_zm_pick_up_weapon_generic_05.rn75.pc.bp.snd
5758081cb1a05b29,vox\scripted\ping\wrth\vox_wrth_ping_item_ss_recon_00.rn75.pc.bp.snd
bcca861c3ba8d6a,vox\scripted\operators\bdzr\vox_bdzr_threat_infantry_14.rn75.pc.bp.snd
61339be8a79f912b,vox\scripted\zm_operators\bdzr\vox_bdzr_zm_pick_up_weapon_shotgun_07.rn75.pc.bp.snd
44ea634a1a4fd490,vox\scripted\frs2\vox_frs2_exert_gas_cough_00.rn75.pc.bp.snd
15e4c8e8c6489fdd,vox\scripted\bakr\vox_bakr_exert_explo_dead_00.rn75.pc.bp.snd
353396b0f9456258,vox\scripted\cp_ger_stakeout\vox_cp_stkt_07130_gms2_stoppolice_64.pn75.pc.bp.snd
24412b0d8bc27b10,vox\scripted\zm_operators\weav\vox_weav_zm_pick_up_weapon_ww_generic_02.rn75.pc.bp.snd
596fdd13e23526df,vox\scripted\mpl\bta1\vox_bta1_ss_missile_trrt_trgt_cuav_00.rn75.pc.bp.snd
250e846fa30bfb39,vox\scripted\operators\mrs1\vox_mrs1_objective_captured_00.rn75.pc.bp.snd
7c4d0b2a3cf8a04f,vox\scripted\kngt\vox_kngt_exert_razor_wire_07.rn75.pc.bp.snd
533efb369a81d859,vox\scripted\cp_ger_hub0\vox_cp_sh0_02300_rmc1_jugglerisworrie_67.pn75.pc.bp.snd
1bf58b77b55acd95,vox\scripted\mpl\anbo\vox_anbo_gnf_ft_start_hardcore_00.rn75.pc.bp.snd
52923d7224dbcd14,vox\scripted\zm_operators\rvas\vox_rvas_zm_pick_up_weapon_ray_gun_03.rn75.pc.bp.snd
37de44beb9528ac8,vox\scripted\operators\grca\vox_grca_se_kill_hatchet_bounce_01.rn75.pc.bp.snd
afd4d03e28fdf63,vox\scripted\operators\adlr\vox_adlr_promotion_reaction_01.rn75.pc.bp.snd
75d1c897fd0f9f1,vox\scripted\grca\vox_grca_exert_bullet_pain_08.rn75.pc.bp.snd
2e27128d1aa9ca77,vox\scripted\zm_operators\bakr\vox_bakr_zm_pick_up_box_equipment_08.rn75.pc.bp.snd
5280d040a6d3dc20,vox\scripted\mpl\anme\vox_anme_switchingsides_01.rn75.pc.bp.snd
6c7ae8e94a58661,vox\scripted\zm_operators\gstf\vox_gstf_zm_se_kill_mult_heal_aura_03.rn75.pc.bp.snd
7c8168d37e47e26b,vox\scripted\ping\park\vox_park_ping_item_ammo_00.rn75.pc.bp.snd
37abc6ec288d7a3f,vox\scripted\ping\zyna\vox_zyna_ping_danger_225_01.rn75.pc.bp.snd
2d96b82015819761,vox\scripted\operators\bdzr\vox_bdzr_eq_satchel_use_03.rn75.pc.bp.snd
55e17a140419d4a2,vox\scripted\ping\kngs\vox_kngs_zm_ping_item_tactical_wall_buy_00.rn75.pc.bp.snd
663d9fe673d5d93c,vox\scripted\cp_ger_stakeout\vox_cp_stkt_04004_adlr_letsmovetothero_25.pn75.pc.bp.snd
32144aa20a134396,vox\scripted\ping\beck\vox_beck_ping_item_melee_01.rn75.pc.bp.snd
62b584944aff2644,vox\scripted\ping\antv\vox_antv_ping_objective_ack_02.rn75.pc.bp.snd
1e5827bb23675245,vox\scripted\operators\rvas\vox_rvas_ss_bow_dstr_01.rn75.pc.bp.snd
4b1e2970ec1a142d,vox\scripted\zm_operators\zyna\vox_zyna_zm_pick_up_weapon_generic_02.rn75.pc.bp.snd
695418a3ee52cdf4,vox\scripted\cp_rus_kgb\vox_cp_rkgb_04000_adlr_openupthevaultb_30.pn75.pc.bp.snd
369d77f510e74459,vox\scripted\zm_operators\stry\vox_stry_zm_pick_up_box_equipment_06.rn75.pc.bp.snd
7202378dabbc3079,vox\scripted\ping\grca\vox_grca_zm_ping_danger_special_01.rn75.pc.bp.snd
70fe6c7c3b432d79,vox\scripted\mpl\anbo\vox_anbo_ss_cuav_enemy_online_01.rn75.pc.bp.snd
3ea483ef25786dc5,vox\scripted\operators\zyna\vox_zyna_objective_captured_02.rn75.pc.bp.snd
1188d116d70ca4fb,vox\scripted\kngt\vox_kngt_exert_death_veh_fly_01.rn75.pc.bp.snd
63ae5fce4e176bfc,vox\scripted\operators\jckl\vox_jckl_eq_jammer_threat_01.rn75.pc.bp.snd
302c527e994add0e,vox\scripted\zm_operators\adlr\vox_adlr_zm_pick_up_weapon_smg_03.rn75.pc.bp.snd
74eec7a9ff339fb5,vox\scripted\zm_operators\wrth\vox_wrth_zm_pick_up_weapon_sniper_rifle_05.rn75.pc.bp.snd
2829c128a844dfda,vox\scripted\zm_operators\hdsn\vox_hdsn_zm_pick_up_weapon_launcher_08.rn75.pc.bp.snd
73e2c28497089cbd,vox\scripted\zm_operators\fuze\vox_fuze_zm_se_kill_mult_one_shot_00.rn75.pc.bp.snd
3d3fc3a8b16a0f18,vox\scripted\naga\vox_naga_exert_underwater_pain_02.rn75.pc.bp.snd
6608e0a827480660,vox\scripted\frs1\vox_frs1_exert_underwater_pain_00.rn75.pc.bp.snd
6843d378ed39c09a,vox\scripted\prce\vox_prce_exert_melee_light_03.rn75.pc.bp.snd
b5b2039ebe38288,vox\scripted\cp_amerika\vox_cp_amrk_01200_park_abortthemission_56_f.pn75.pc.bp.snd
4156074d4f347f34,vox\scripted\mpl\adgi\vox_adgi_infect_start_hardcore_00.rn75.pc.bp.snd
2d7abee44eed819e,vox\scripted\mpl\anme\vox_anme_ftb_timesup_03.rn75.pc.bp.snd
14d2d7ee1234b7f3,vox\systems\cp_battle\adlr\vox_adlr_they_re_moving_0.rn75.pc.bp.snd
63a373dbad38d329,vox\scripted\operators\lazr\vox_lazr_ss_uav_threat_00.rn75.pc.bp.snd
7a81d77d0042c177,vox\scripted\operators\park\vox_park_se_kill_mult_listen_00.rn75.pc.bp.snd
619ca4dfc763b456,vox\systems\cp_battle\usm2\vox_usm2_sniper_down_0.rn75.pc.bp.snd
148cfe36bb5f3e5f,vox\scripted\zmb\zm_audiologs\vox_zmlg_barb_dark_aether_audiolog_06_2.sn75.pc.bp.snd
3254006185270a7b,vox\scripted\cp_amerika\vox_cp_amrk_02500_wood_letsroll_8d.pn75.pc.bp.snd
c74f2a131cfebb1,vox\scripted\ping\fuze\vox_fuze_ping_item_gun_ar_00.rn75.pc.bp.snd
75035b59801275fb,vox\scripted\stch\vox_stch_exert_stabbed_02.rn75.pc.bp.snd
